Channel_id,Created_at,Channel_name,Total_Views,Subscribers,Video_count
UC-2Y8dQb0S6DtpxNgAKoJKA,2026-07-29,PlayStation,6302158684,17200000,27765
UCo4k7uMo-JgnNaP3TbKT2Zw,2026-07-29,Ray Snakeyes,571634615,1660000,5250
UCRDnYaTa1XCcVzmpT1Tm2Wg,2026-07-29,戸川純,1083362,22200,62
UCp0iCvHGMwyfPHpYq7n2sPw,2026-07-29,ATARASHII GAKKO! - 新しい学校のリーダーズ,607608221,1750000,430
